Rank,State,"Number of cases convicted 2012 [1]"
1,"Uttar Pradesh",221
2,"Tamil Nadu",153
3,Kerala,105
4,Karnataka,100
5,Maharashtra,20
5,"West Bengal",20
5,Haryana,20
5,Bihar,20
5,Chhattisgarh,20
5,Rajasthan,20
6,"Andhra Pradesh",13
7,Punjab,11
8,"Madhya Pradesh",10
9,Sikkim,4
10,Uttarakhand,3
11,Nagaland,2
11,Mizoram,2
11,Jharkhand,2
11,Goa,2
11,Gujarat,2
12,Assam,1
12,Odisha,1
13,"Jammu and Kashmir",0
13,"Arunachal Pradesh",0
13,Tripura,0
13,"Himachal Pradesh",0
13,Manipur,0
13,Meghalaya,0
"U/T",Delhi,32
"U/T",Puducherry,21
"U/T",Lakshadweep,0
"U/T",Chandigarh,0
"U/T","Andaman and Nicobar Islands",0
"U/T","Dadra and Nagar Haveli",0
"U/T","Daman and Diu",0