Code,Subdivision name,Subdivision category
IN-AP,Andhra Pradesh,state
IN-AR,Arunachal Pradesh,state
IN-AS,Assam,state
IN-BR,Bihar,state
IN-CT,Chhattisgarh,state
IN-GA,Goa,state
IN-GJ,Gujarat,state
IN-HR,Haryana,state
IN-HP,Himachal Pradesh,state
IN-JK,Jammu and Kashmir,state
IN-JH,Jharkhand,state
IN-KA,Karnataka,state
IN-KL,Kerala,state
IN-MP,Madhya Pradesh,state
IN-MH,Maharashtra,state
IN-MN,Manipur,state
IN-ML,Meghalaya,state
IN-MZ,Mizoram,state
IN-NL,Nagaland,state
IN-OR,Odisha,state
IN-PB,Punjab,state
IN-RJ,Rajasthan,state
IN-SK,Sikkim,state
IN-TN,Tamil Nadu,state
IN-TG,Telangana,state
IN-TR,Tripura,state
IN-UT,Uttarakhand,state
IN-UP,Uttar Pradesh,state
IN-WB,West Bengal,state
IN-AN,Andaman and Nicobar Islands,Union territory
IN-CH,Chandigarh,Union territory
IN-DN,Dadra and Nagar Haveli,Union territory
IN-DD,Daman and Diu,Union territory
IN-DL,Delhi,Union territory
IN-LD,Lakshadweep,Union territory
IN-PY,Puducherry,Union territory